URL,Title,Author,Number of Ratings,Number of Reviews,Average Ratings,Number of Pages,Published Year,Series,Genres,Awards,Places
"https://www.goodreads.com/book/show/30072.The_Brief_History_of_the_Dead""",The Brief History of the Dead,Tom McCarthy,11236,1852.0,3.6,252.0,2007,0.0,"['Fiction', 'Fantasy', 'Science Fiction']","['Locus Award Nominee for Best Fantasy Novel (2007)', 'New York Public Library Young Lions Fiction Award Nominee (2007)', 'Borders Original Voices Award for Fiction (2006)', 'Booker Worthen Literary Prize (2007)']",[['Antarctica']]
"https://www.goodreads.com/book/show/4303567-angelica-and-francesca""",Angelica And Francesca,P.C. Cast,356,5.0,4.5,52.0,2005,0.0,"['Fiction', 'Plays', 'Contemporary']",[],
"https://www.goodreads.com/book/show/142900.The_Master_Butchers_Singing_Club""",The Master Butchers Singing Club,Kevin Brockmeier,22418,1862.0,4.0,416.0,2016,0.0,"['Fiction', 'Historical Fiction', 'Historical']",[],"[['North Dakota', '(United States)'], [''], ['Other Editions (38)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/241936.The_Last_Detective""","The Last Detective (Elvis Cole, #9)",Kenneth Jarrett Singleton,17078,566.0,4.2,352.0,2004,1.0,"['Mystery', 'Fiction', 'Crime']",[],
"https://www.goodreads.com/book/show/544891.Beastly""","Beastly (Beastly, #1; Kendra Chronicles, #1)",Louise Erdrich,173112,9081.0,3.8,304.0,2007,1.0,"['Young Adult', 'Fantasy', 'Romance']","['California Young Readers Medal Nominee for Young Adult (2012)', 'Lincoln Award Nominee (2012)', 'Missouri Gateway Readers Award Nominee (2010)']","[['New York State', '(United States)'], ['New York City, New York', '(United States)']]"
"https://www.goodreads.com/book/show/13888.Knife_of_Dreams""","Knife of Dreams (The Wheel of Time, #11)",Robert Crais,107000,2281.0,4.1,860.0,2006,1.0,"['Fantasy', 'Fiction', 'Epic Fantasy']",['Locus Award Nominee for Best Fantasy Novel (2006)'],
"https://www.goodreads.com/book/show/3973.Ilium""","Ilium (Ilium, #1)",Alex Flinn,27242,1172.0,4.0,731.0,2005,1.0,"['Science Fiction', 'Fantasy', 'Fiction']","['Hugo Award Nominee for Best Novel (2004)', 'Locus Award for Best Science Fiction Novel (2004)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2005)']",
"https://www.goodreads.com/book/show/828387.A_Short_History_of_Tractors_in_Ukrainian""",A Short History of Tractors in Ukrainian,Robert Jordan,27916,2805.0,3.4,326.0,2006,0.0,"['Fiction', 'Contemporary', 'Humor']","['Booker Prize Nominee for Longlist (2005)', 'Orange Prize Nominee for Fiction Shortlist (2005)', 'Bollinger Everyman Wodehouse Prize for Comic Fiction (2005)', 'Saga Award (2005)']",
"https://www.goodreads.com/book/show/6597651-the-windup-girl""",The Windup Girl,Dan Simmons,69245,6506.0,3.7,359.0,2009,1.0,"['Science Fiction', 'Fiction', 'Dystopia']","['Hugo Award for Best Novel (2010)', 'Nebula Award for Best Novel (2009)', 'Locus Award for Best First Novel (2010)', 'Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2012)', 'British Science Fiction Association Award Nominee for Novel (2010)', 'John W. Campbell Memorial Award for Best Science Fiction Novel (2010)', 'Compton Crook Award (2010)', ""Grand Prix de l'Imaginaire for Roman étranger et Traduction (2013)"", 'Premio Ignotus for Mejor novela extranjera (2012)', 'Prix Bob Morane for roman traduit (2013)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2011)', 'Goodreads Choice Award Nominee for Science Fiction (2009)', 'Prix Une autre Terre (2013)']","[['Bangkok', '(Thailand)']]"
"https://www.goodreads.com/book/show/28251.The_High_Lord""","The High Lord (Black Magician Trilogy, #3)",Marina Lewycka,55265,1631.0,4.1,644.0,2004,1.0,"['Fantasy', 'Young Adult', 'Magic']",['Ditmar Award Nominee for Best Novel (2004)'],[['Kyralia']]
"https://www.goodreads.com/book/show/96063.The_Speed_of_Dark""",The Speed of Dark,Paolo Bacigalupi,10078,1220.0,,369.0,2005,0.0,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']","['Nebula Award for Best Novel (2003)', 'Arthur C. Clarke Award Nominee (2003)']",
"https://www.goodreads.com/book/show/128754.Deadly_Decisions""","Deadly Decisions (Temperance Brennan, #3)",Trudi Canavan,32745,1097.0,3.9,368.0,2001,1.0,"['Mystery', 'Crime', 'Fiction']",[],"[['Quebec (Québec)', '(Canada)'], ['Montreal, Quebec (Montréal, Québec)', '(Canada)'], ['Shallotte', '(United States)'], [''], ['Other Editions (95)'], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], [''], ['All Editions', ' | ', 'Add a New Edition', ' | ', 'Combine']]"
"https://www.goodreads.com/book/show/213647.The_Warrior_Heir""","The Warrior Heir (The Heir Chronicles, #1)",Elizabeth Moon,49028,3274.0,3.9,426.0,2007,1.0,"['Fantasy', 'Young Adult', 'Magic']",['South Carolina Book Award Nominee for Young Adult Book Award (2009)'],"[['Trinity, Ohio', '(United States)'], ['London, England', '(United Kingdom)'], ['Cumbria, England']]"
"https://www.goodreads.com/book/show/129511.Taking_Charge_of_Your_Fertility""","Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Kathy Reichs,9344,1222.0,4.5,512.0,2006,0.0,"['Nonfiction', 'Health', 'Parenting']",[],
"https://www.goodreads.com/book/show/998133.The_Gathering""",The Gathering,Cinda Williams Chima,20497,3115.0,3.0,261.0,2007,0.0,"['Fiction', 'Ireland', 'Irish Literature']","['Booker Prize (2007)', 'Orange Prize Nominee for Fiction Longlist (2008)', 'Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year (2008)', 'Kerry Group Irish Fiction Award (2008)', 'International Dublin Literary Award Nominee (2009)']",[['Ireland']]
"https://www.goodreads.com/book/show/1611988.A_Prisoner_of_Birth""",A Prisoner of Birth,Toni Weschler,33796,2458.0,4.1,501.0,2008,0.0,"['Fiction', 'Thriller', 'Mystery']",['Prix Polar International (2009)'],
